Dataset No.,Category Rank,Dataset Name,Publication/Release Year,Source/Repository,Dataset Link,Associated Paper,DOI,Data Category,Data Type,Solar Asset,Data Variables,Image Resolution,Number of Samples,Defect Classes,Geographic Location,Real or Synthetic,Collection Period,Access,Research Applications,Verification Status,Scope Note
63,E03,Typical Solar Years for PV System Assessment,2024,OEDI/Argonne,https://data.openei.org/submissions/6112,Development of typical solar years and typical wind years,10.1016/j.apenergy.2024.124698,Environmental Time-Series,EPW/SAM weather files,generic PV system,irradiance; weather; typical-year fields,N/A,NR,NR,USA,Derived from measured/satellite weather,NR,Open,PV performance assessment,Verified OEDI record,Solar resource rather than operational PV
64,E04,SaurKshetra,2025,Mendeley Data,https://data.mendeley.com/datasets/dwywt7mz95/2,NR,10.17632/dwywt7mz95.2,Environmental Time-Series,CSV monthly/geospatial,prospective solar farms,solar radiation; temperature; cloud; albedo; precipitation,N/A,NR,NR,India,Reanalysis/satellite-derived,2022 (description also mentions 10-year extraction),Open CC BY 4.0,site suitability; ML,Verified repository record,Metadata has conflicting period statements
65,E05,Solar Energy Dataset (NASA POWER compilation),2025,Mendeley Data,https://data.mendeley.com/datasets/hkcyvhvmwp/2,NR,10.17632/hkcyvhvmwp.2,Environmental Time-Series,CSV monthly,prospective PV sites,all/clear-sky shortwave; albedo; cloud; temperature; dew point; precipitation,N/A,NR,NR,Global/selected regions,NASA POWER derived,monthly; period statement inconsistent,Open CC BY 4.0,site selection; climate analysis,Verified repository record,Not plant measurements
66,E06,Solar irradiance hourly Meshgin-Shahr Iran,2025,Mendeley Data,https://data.mendeley.com/datasets/c7ygvwkh8j/1,NR,10.17632/c7ygvwkh8j.1,Environmental Time-Series,hourly tabular,prospective PV,GHI; DNI; DHI,N/A,NR,NR,Meshgin-Shahr Iran,NASA-derived,NR,Open CC BY 4.0,resource assessment; PV design,Verified repository record,No plant output
67,E07,PV-Live continuously updated irradiance network (2024 data release),2024,Zenodo/Fraunhofer ISE,https://zenodo.org/records/6028096,Minute-resolution measurement network for GHI and tilted irradiance,10.5281/zenodo.6028096,Environmental Time-Series,monthly ZIP/TSV/JSON,PV reference cells/measurement stations,GHI; east/south/west GTI; temperature; quality flags,N/A,40 stations; minute resolution,shading/quality flags,Baden-Württemberg Germany,Real measurement network,2020 onward including 2024,Open CC BY 4.0,irradiance forecasting; QC,Verified repository; original record 2022,Included for 2024 data release/update
68,E08,National Solar Radiation Database 2024 annual update,2024,OEDI/NREL,https://data.openei.org/submissions/1,NSRDB documentation,NR,Environmental Time-Series,cloud/S3 gridded time series,generic PV resource,GHI; DNI; DHI; temperature; wind; AOD; albedo,N/A,Massive gridded archive,NR,USA/international,Satellite/reanalysis-derived,1998-2024,Open,solar forecasting; PV simulation,Verified ongoing official dataset,Record itself predates window; annual data release qualifies
69,E09,NOAA SURFRAD 2024 Solar Radiation Observations,2025,NOAA Global Monitoring Laboratory,https://gml.noaa.gov/grad/surfrad/,SURFRAD network documentation,NR,Environmental Time-Series,daily/yearly station text files,solar-resource/PV validation sites,global/direct/diffuse solar radiation; UV; IR; meteorology,N/A,7 US stations; high-frequency annual records,NR,USA,Real ground measurements,calendar year 2024,Open US government data,irradiance validation; PV modeling; forecasting,Official NOAA portal,Environmental support dataset; no PV output
70,E10,Mopo pan-European VRE data,2026,Zenodo,https://zenodo.org/records/17950648,Nayak et al. 2025 wind methodology,10.5281/zenodo.17950648,Environmental/Electrical Time-Series,hourly time series; cost/potential tables,regional solar PV,3 PV technology generation profiles; costs; potential; installed capacity,N/A,NR,NR,Pan-Europe,Simulated,2020/2025 capacities,Open,energy-system modeling,Verified repository record,Solar + wind
71,E11,Mopo pan-European VRE climate projections,2026,Zenodo,https://zenodo.org/records/18549865,NR,10.5281/zenodo.18549865,Environmental/Electrical Time-Series,hourly climate scenario time series,regional solar PV,PV generation under climate models,N/A,NR,NR,Pan-Europe,Simulated climate projections,Future scenarios,Open,climate impact; energy modeling,Verified repository record,Solar + wind; modeled
72,E12,MODERATE Solar Cadastre Dataset,2026,Zenodo,https://zenodo.org/records/20391373,MODERATE project,NR,Environmental/PV Potential,building attributes; irradiance-derived PV estimates,rooftop PV,roof area; capacity; yield; annual generation; CO2; coordinates,N/A,NR,NR,Crevillent Spain,Derived/modelled,NR,Open,solar cadastre; BIPV planning,Verified repository page,Released May 2026
73,E13,Dataset for evaluating rooftop PV impact on urban temperature,2024,Zenodo,https://zenodo.org/records/13624914,NR,10.5281/zenodo.13624914,Environmental Time-Series,XLSX simulation outputs,rooftop PV,panel surface temperature; urban state variables,N/A,NR,NR,Kolkata Austin Sydney Athens Brussels,Synthetic/model output,city summer periods,Open CC BY 4.0,urban climate; rooftop PV,Verified repository record,Simulation clearly flagged
74,E14,Solar PV and wind Model Supply Region dataset for Central/South America,2024,Zenodo,https://zenodo.org/records/10650822,NR,10.5281/zenodo.10650822,Environmental/Electrical Time-Series,RAR; shapefiles; time series,regional PV,potential; generation profiles; clusters,N/A,830.51 MB,NR,Central and South America,Modeled/derived,NR,Open,capacity expansion; siting,Verified repository record,Includes wind
75,E15,High-resolution BIPV potential across 120 cities figure data,2025,Figshare/Elsevier,https://figshare.com/articles/dataset/Figure_data_for_paper_DOI_10_1016_j_ynexs_2025_100060/28621262,Holistic methodology for BIPV potential,10.1016/j.ynexs.2025.100060,Environmental/PV Potential,ZIP; 3D/model outputs,BIPV facades/roofs,irradiance; facade/roof PV potential,N/A,120 cities; 574.57 MB,NR,Global cities,Modeled,NR,Open CC BY 4.0,BIPV potential; urban energy,Verified repository record,Not operational data
76,F01,DDRE-33 Dataset for Distributed Renewable Energy Scenarios,2025,Figshare/Springer Nature,https://figshare.com/articles/dataset/DDRE-33_Dataset_for_Distributed_Renewable_Energy_Scenarios/29374640,A Large-Scale Dataset of Distributed Renewable Energy Scenarios,10.1038/s41597-025-06464-w,Electrical Time-Series,tabular distributed profiles,distributed PV on 33-bus system,per-unit/actual PV output; weather labels,N/A,2000,weather/output regimes,Ontario-inspired test system,Synthetic/generated scenarios,annual scenarios,Open,distribution-system ML; scenario generation,Verified paper and Figshare link,Synthetic benchmark
77,F02,DARC PV arc-fault time-series project data,2025,Zenodo/JRC,https://zenodo.org/records/16875750,DARC PV Lab Access User Project Report,10.5281/zenodo.16875750,Electrical Time-Series,report and high-frequency signal workflow,PV inverter/system,voltage spectra 0-250 kHz; arc labels,N/A,NR,arc/no arc,Ispra Italy,Real-time digital simulator replay of measured/supplied arc signals,2025-02-24 to 2025-03-07,Open report; underlying signal files not visible on landing page,arc fault detection,Verified repository record; data accessibility limited,Lower-ranked because record currently exposes report only
78,F03,Model and Datasets for Deconstructing Value in Solar Panel Reuse,2025,Zenodo,https://zenodo.org/records/17312834,Deconstructing Value in Solar Panel Reuse with Time-Explicit LCA and Costing,10.5281/zenodo.17312834,PV Performance,XLSX inventories; irradiance; model,reused PV modules/systems,irradiance; inventory; costs; emissions; functional value,N/A,3 cases; 24.3 MB,degradation/reuse cases,Multiple case-study regions,Mixed empirical inputs + model,scenario periods,Open CC BY 4.0,reuse; degradation economics; LCA,Verified repository record,Performance/economic rather than telemetry
79,F04,Four-Year 30-Minute Simulated Residential HEMS Dataset,2026,Mendeley Data,https://data.mendeley.com/datasets/5rrc4787hv/1,NR,10.17632/5rrc4787hv.1,PV Performance/Operational,CSV time series,6 simulated homes with PV+BESS,PV; load; price; weather; occupancy; HVAC; battery,N/A,4 years x 6 homes x 30-min,NR,Sacramento California,Synthetic with NSRDB/CAISO inputs,4 years simulated,Open CC BY 4.0,HEMS; PV self-consumption; scheduling,Verified repository record,Synthetic clearly flagged
80,F05,60 000 SCAPS-1D indoor-PV samples,2026,Mendeley Data,https://data.mendeley.com/datasets/3ds9wrkdty/2,NR,10.17632/3ds9wrkdty.2,Electrical/Performance,tabular simulation,solar cells,PCE; Voc; Jsc; fill factor; layer parameters,N/A,60000,NR,Virtual,Simulated SCAPS-1D,NR,Open CC BY 4.0,materials screening; regression,Verified repository record,Cell simulation; lower priority
81,F06,Spice Simulated Solar Panel Dataset for ML Applications,2024,Mendeley Data,https://data.mendeley.com/datasets/zfczbcphxz/1,NR,10.17632/zfczbcphxz.1,Electrical Time-Series,LTSpice output/tabular,10-cell module,V; I; power; temperature; shading/configuration,N/A,NR,shading levels/configurations,Virtual,Synthetic LTSpice,NR,Open CC BY 4.0,classification; regression; teaching,Verified repository record,Synthetic
82,F07,Simulation Model Data for PV MPPT using Sequential Monte Carlo,2024,Mendeley Data,https://data.mendeley.com/datasets/h5ssnmxfxw/2,NR,10.17632/h5ssnmxfxw.2,Electrical Time-Series,MATLAB/Simulink; Excel,PV system,MPP; V; I; power; controller outputs,N/A,NR,NR,Virtual,Simulation + experimental files reported,NR,Open CC BY 4.0,MPPT validation,Verified repository record,Mixed provenance needs file inspection
83,F08,Dataset to simulate crystalline Si single- and multi-junction cells,2024,Mendeley Data,https://data.mendeley.com/datasets/867xkxhxy7/1,A global statistical assessment of designing silicon-based solar cells for geographical markets,10.1016/j.joule.2024.04.009,Electrical/Performance,MATLAB scripts/data,silicon cells,efficiency; cell design; real-world climate inputs,N/A,NR,NR,Global markets,Simulated,NR,Open CC BY 4.0,cell design; geographical optimization,Verified repository record,Simulation
84,F09,Panel data for utility solar PV costs and adoption,2025,Mendeley Data,https://data.mendeley.com/datasets/hsnjbxb648/1,Will national renewable costs continue declining?,10.17632/hsnjbxb648.1,PV Performance/Operational,country-year panel,utility solar fleets,installed cost; module/BOS cost; LCOE; capacity; generation; policy,N/A,1356 cost observations total; 556 solar in 49 countries,NR,96 countries,Real compiled administrative/economic,1990-2023,Open CC BY 4.0,diffusion; cost learning; policy,Verified repository record,Not plant telemetry
85,F10,Q1-2024 Solar Cost Benchmarks,2025,OEDI/NLR,https://data.openei.org/submissions/8583,Solar Photovoltaic System and Energy Storage Cost Benchmarks Q1 2024,NR,PV Performance/Operational,workbook,residential/commercial/utility PV,PV/BESS cost; O&M; unit conversions,N/A,NR,NR,USA,Real cost benchmark/engineering model,Q1 2024,Open,techno-economic analysis,Verified OEDI record,No generation measurements
86,F11,Solar PV Capacity for Systems 1 MW and Smaller 2024,2025,California Energy Commission/Data.gov,https://catalog.data.gov/dataset/solar-pv-capacity-for-systems-1-mw-and-smaller-2024,NR,NR,PV Performance/Operational,ArcGIS/geospatial dataset,small distributed PV,location/area; nameplate capacity,N/A,NR,NR,California USA,Real administrative,2024,Open CC BY,deployment mapping,Verified data.gov record,Capacity inventory not telemetry
87,F12,Code model and analysis data for wind and solar generation over California with E3SM SCREAM,2025,Zenodo,https://zenodo.org/records/16809290,Simulation of wind and solar energy generation over California with E3SM SCREAM,10.5281/zenodo.16809290,Environmental/Electrical Time-Series,model/reanalysis/analysis files,California EIA PV plants,weather; simulated PV generation; valid plant list,N/A,large archive; exact solar subset NR,NR,California USA,Simulated with real plant registry/reanalysis,NR,Open,high-resolution generation modeling,Verified repository record,Includes wind; PV plant list explicit
88,F13,US Solar Siting Regulation and Zoning Ordinances 2025,2025,OEDI/NLR,https://data.openei.org/submissions/8602,NR,NR,PV Performance/Siting,XLSX; GeoPackage,solar projects,ordinance text/source; jurisdiction geometry,N/A,NR,NR,USA,Real regulatory records,2025,Open,siting; policy analysis,Verified OEDI record,Peripheral to operational PV
89,F14,STEADy Solar supporting dataset,2024,NREL/OEDI,https://data.openei.org/submissions/8287,Screening Tool for Equitable Adoption and Deployment of Solar,NR,PV Performance/Siting,CSV; Shapefile,distributed solar,equity; deployment/siting indicators,N/A,NR,NR,USA,Compiled administrative/geospatial,2024,Open,equitable siting,Verified OEDI record,Peripheral
90,F15,Solar PV Water Setbacks 2024 release,2024,OEDI/NREL,https://data.openei.org/submissions/6144,Renewable Energy Technical Potential and Supply Curves 2024,10.25984/2441172,PV Performance/Siting,TIF; PNG,utility PV siting,permitted/prohibited raster,N/A,CONUS raster,NR,CONUS,Derived regulatory geospatial,2022 ordinances/2024 release,Open CC BY 4.0,siting constraints,Verified OEDI record,Peripheral
91,F16,Solar PV Structure Setbacks 2024 release,2024,OEDI/NREL,https://data.openei.org/submissions/6141,Renewable Energy Technical Potential and Supply Curves 2024,10.25984/2441174,PV Performance/Siting,TIF; PNG,utility PV siting,structure setback exclusions,N/A,CONUS raster,NR,CONUS,Derived regulatory geospatial,2022 ordinances/2024 release,Open CC BY 4.0,siting constraints,Verified OEDI record,Peripheral
92,F17,Solar PV Transmission Setbacks 2024 release,2024,OEDI/NREL,https://data.openei.org/submissions/6143,Renewable Energy Technical Potential and Supply Curves 2024,10.25984/2441173,PV Performance/Siting,TIF; PNG,utility PV siting,transmission setback exclusions,N/A,CONUS raster,NR,CONUS,Derived regulatory geospatial,2022 ordinances/2024 release,Open CC BY 4.0,siting constraints,Verified OEDI record,Peripheral
93,F18,Solar Energy Bans or Moratoriums 2024 release,2024,OEDI/NREL,https://data.openei.org/submissions/6124,Renewable Energy Technical Potential and Supply Curves 2024,10.25984/2441171,PV Performance/Siting,TIF; PNG,utility PV siting,ban/moratorium permitted/prohibited,N/A,CONUS raster,NR,CONUS,Derived regulatory geospatial,2022 ordinances/2024 release,Open CC BY 4.0,siting constraints,Verified OEDI record,Peripheral
94,G01,Girasol 2024 maintained sky-imaging and irradiance release,2024,Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.zcrjdfn9m,Girasol a sky imaging and global solar irradiance dataset,10.1016/j.dib.2021.106914,Multimodal,sky images + irradiance time series,PV forecasting site,sky/cloud imagery; global solar irradiance,NR,NR,cloud regimes,New Mexico USA,Real measurements,NR,Open CC0,nowcasting; PV power forecasting,Verified repository; original dataset 2021,Boundary record: included only if 2024 repository release/update is accepted
95,G02,PVDAQ public system-performance data 2024 snapshot,2024,NREL/OEDI,https://openei.org/wiki/PVDAQ,PV Data Acquisition project documentation,NR,Multimodal,CSV/API system monitoring,distributed/test PV systems,AC/DC power; irradiance; module temperature; weather (site-dependent),N/A,multiple systems/sites,fault/quality flags site-dependent,USA,Real operational,through 2024,Open registration/API terms vary,performance; degradation; validation,Official portal verified; frozen 2024 snapshot DOI not identified,Living database annual snapshot
96,G03,Tracking the Sun 2024 public data file,2024,LBNL,https://trackingthesun.lbl.gov/,Tracking the Sun 2024 Edition,NR,PV Performance/Operational,project-level CSV/XLSX,distributed PV,installation date; size; price; module/inverter; customer/site fields,N/A,millions of systems,NR,USA,Real administrative/project records,through 2023,Open public data file,deployment; cost; technology trends,Official portal verified,Annual frozen release; not generation telemetry
97,G04,EIA-860 2024 Final Data solar generator tables,2025,U.S. EIA,https://www.eia.gov/electricity/data/eia860/,Form EIA-860 Annual Electric Generator Report,NR,PV Performance/Operational,XLSX/CSV,utility-scale solar plants/generators,capacity; status; technology; location; planned/retired dates,N/A,all reported US generators,operating status,USA,Real regulatory reporting,calendar year 2024,Open US government data,fleet analysis; asset metadata,Official EIA dataset page,Solar subset of broader generator dataset
98,G05,EIA-923 2024 Final Data solar generation and fuel tables,2025,U.S. EIA,https://www.eia.gov/electricity/data/eia923/,Form EIA-923 Power Plant Operations Report,NR,PV Performance/Operational,XLSX/CSV,utility-scale solar power plants,monthly generation; plant/operator identifiers,N/A,all reporting US plants,NR,USA,Real regulatory reporting,calendar year 2024,Open US government data,generation analysis; benchmarking,Official EIA dataset page,Solar subset of broader power-plant dataset
99,G06,PUDL v2025.5.0,2025,Zenodo/Catalyst Cooperative,https://zenodo.org/records/15471179,Public Utility Data Liberation Project,10.5281/zenodo.15471179,PV Performance/Operational,SQLite; Parquet,US solar generators/plants within utility data,EIA-860/923/930 generation; capacity; ownership; emissions links,N/A,15.4 GB release,NR,USA,Real harmonized regulatory records,through 2025Q2 source updates,Open,reproducible plant/fleet analysis,Verified repository release,Broad energy dataset; solar filter required
100,G07,Floating Solar Power Plants Potential in Indonesia,2024,Mendeley Data,https://data.mendeley.com/datasets/dsfp4tbmzh/1,NR,10.17632/dsfp4tbmzh.1,PV Performance/Operational,tabular/project data,floating PV plants,capacity; status; investment; generation estimates,N/A,NR,project status,Indonesia,Real project registry/compiled data,through 2024,Open CC BY 4.0,floating-PV deployment; planning,Verified repository record,Compiled project data; limited telemetry
